,,,,,,,,!#,!#,!#,,,,,,,,
,,,,,,,,!#,,!#,,,,,,,,
!#,!#,!#,!#,!#,!#,!#,!#,!#,,!#,!#,!#,!#,!#,!#,!#,!#,!#
!#,,,,,,,,BO,,BO,,,,,,,,!#
!#,,!#,BO,!#,BO,!#,BO,!#,,!#,BO,!#,BO,!#,BO,!#,,!#
!#,,BO,,BO,SBH,BO,,BO,BO,BO,,BO,SBH,BO,,BO,,!#
!#,,!#,BO,!#,BO,!#,,!#,,!#,,!#,BO,!#,BO,!#,,!#
!#,,BO,,BO,SBH,,BO,,BO,,BO,,SBH,BO,,BO,,!#
!#,,!#,,!#,BO,!#,,!#,,!#,,!#,,!#,,!#,,!#
!#,,BO,,BO,SBH,,BO,,BO,,BO,,SBH,BO,,BO,,!#
!#,,!#,BO,!#,BO,!#,,!#,,!#,,!#,BO,!#,BO,!#,,!#
!#,,,,BO,SBH,,BO,,,,BO,,SBH,BO,,,,!#
!#,,!#,,!#,,!#,,!#,BO,!#,,!#,,!#,,!#,,!#
!#,,BO,,BO,SBH,,SBH,BO,SBH,BO,SBH,,SBH,BO,,BO,,!#
!#,,!#,BO,!#,BO,!#,BO,!#,BO,!#,BO,!#,BO,!#,BO,!#,,!#
!#,,,,BO,,BO,,BO,,,,BO,,BO,,,,!#
!#,,!#,,!#,BO,!#,,!#,,!#,,!#,,!#,,!#,,!#
!#,,BO,,BO,,BO,,BO,,BO,,BO,,BO,,BO,,!#
!#,,!#,BO,!#,,!#,BO,!#,,!#,BO,!#,,!#,BO,!#,,!#
!#,CV,,,,,,,,,,,,,,,,CV,!#
!#,!#,!#,!#,!#,!#,!#,!#,!#,P,!#,!#,!#,!#,!#,!#,!#,!#,!#
,,,,,,,,!#,!#,!#,,,,,,,,
