,,,,,,,,#,#,#,,,,,,,,
,,,,,,,,#,SP,#,,,,,,,,#
#,#,#,#,#,#,#,#,#,GT,#,#,#,#,#,#,#,#,#
#,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SBH,SG,SG,SG,SG,SG,SG,SG,SBH,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SBH,SG,SG,SG,SG,SG,SG,SG,SBH,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SBH,SG,SG,SG,SG,SG,SG,SG,SBH,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SBH,SG,SG,SG,SG,SG,SG,SG,SBH,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SBH,SG,SBH,SG,SBH,SG,SBH,SG,SBH,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,GT,SG,GT,SG,GT,SG,GT,SG,GT,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,#
#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#,SG,#
#,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,SG,#
#,#,#,#,#,#,#,#,#,SG,#,#,#,#,#,#,#,#,
,,,,,,,,#,#,#,,,,,,,,
