AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,AW,,,AW,AW,AW,AW,AW,,,,,,,,,,
AW,K,C,,,,,,,,AW,,,AW,,,,AW,,,,,,,,,,
AW,,C,,E,,,,C,,AW,,,AW,,S,,AW,,,,,,,,,,
AW,,,,,,,,C,,AW,,,AW,,,,AW,,,,,,,,,,
AW,E,,,,,C,,C,E,AW,,,AW,AW,,AW,AW,,,,,,,,,,
AW,AW,AW,AW,AW,AW,AW,LD,AW,AW,AW,,,,AW,,AW,,,,,,,,,,,
,,,,,,AW,,AW,,,,,,AW,,AW,,,,,,,,,,,
,,,,,,AW,,AW,,AW,AW,AW,AW,AW,,AW,AW,AW,AW,AW,,,AW,AW,AW,AW,AW
,,,,,,AW,,AW,,AW,,,,,,,,,,AW,AW,AW,AW,,,,AW
,,,,,,AW,,AW,AW,AW,,E,,,,,,,,TH,,,TH,,MS,,AW
,,,,,,AW,,,,PD,,,,,,,,,,AW,AW,AW,AW,,,,AW
,,,,,,AW,,AW,AW,AW,,,,,,,,E,,AW,,,AW,AW,AW,AW,AW
,,,,,,AW,,AW,,AW,,,PP,,,,PP,,,AW,,,,,,,
,,,,,,AW,,AW,,,AW,,,,,,,,AW,,,,,,,,
,,,,,,AW,,AW,,,,AW,AW,AW,PD,AW,AW,AW,,,,,,,,,
,,,,AW,AW,AW,ED,AW,AW,AW,,,,AW,,AW,,,,,,,,,,,
,,,,AW,SE,,,,SE,AW,,,,AW,,AW,,,,,,,,,,,
,,,,AW,,,,,,AW,,,,AW,,AW,,,,,,,,,,,
,,,,AW,SE,,SE,,SE,AW,,,,AW,LD,AW,,,,,,,,,,,
,,,,AW,,,,,,AW,,,AW,AW,,AW,AW,,,,,,,,,,
,,,,AW,,SE,K,SE,,AW,,,AW,,,,AW,,,,,,,,,,
,,,,AW,AW,AW,AW,AW,AW,AW,,,AW,,F,,AW,,,,,,,,,,
,,,,,,,,,,,,,AW,,,,AW,,,,,,,,,,
,,,,,,,,,,,,,AW,AW,AW,AW,AW,,,,,,,,,,
