,,,,,,,,!#,!#,!#,,,,,,,,
,,,,,,,,!#,AG,!#,,,,,,,,
!#,!#,!#,!#,!#,!#,!#,!#,!#,GT,!#,!#,!#,!#,!#,!#,!#,!#,!#
!#,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,!#
!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#
!#,AG,AG,AG,AG,SBH,AG,AG,AG,AG,AG,AG,AG,SBH,AG,AG,AG,AG,!#
!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#
!#,AG,AG,AG,AG,SBH,AG,AG,AG,AG,AG,AG,AG,SBH,AG,AG,AG,AG,!#
!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#
!#,I,AG,AG,AG,SBH,AG,AG,AG,AG,AG,AG,AG,SBH,AG,AG,AG,I,!#
!#,I,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,I,!#
!#,I,AG,AG,AG,SBH,AG,AG,AG,AG,AG,AG,AG,SBH,AG,AG,AG,I,!#
!#,I,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,I,!#
!#,AG,AG,AG,AG,SBH,AG,SBH,AG,SBH,AG,SBH,AG,SBH,AG,AG,AG,AG,!#
!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#
!#,AG,AG,AG,AG,GT,AG,GT,AG,GT,AG,GT,AG,GT,AG,AG,AG,AG,!#
!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#
!#,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,!#
!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#,AG,!#
!#,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,!#
!#,!#,!#,!#,!#,!#,!#,!#,!#,AG,!#,!#,!#,!#,!#,!#,!#,!#,!#
,,,,,,,,!#,!#,!#,,,,,,,,
