,,,,,,,,,,,,,!#,!#,!#,
,,,,,,,,,,,,!#,!#,SP,!#,!#
,,,,,,,,,,,,!#,AG,GT,AG,!#
,,,,,,,!#,!#,!#,!#,!#,!#,AG,AG,AG,!#
!#,!#,!#,!#,!#,!#,!#,!#,AG,AG,AG,!#,!#,AG,AG,AG,!#
!#,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,AG,!#,AG,AG,AG,!#
!#,AG,AG,!#,!#,!#,!#,!#,!#,AG,AG,AG,!#,!#,!#,AG,!#
!#,AG,SBH,AG,GT,AG,!#,!#,!#,AG,AG,AG,AG,AG,AG,AG,!#
!#,!#,!#,AG,AG,AG,AG,AG,!#,AG,!#,!#,!#,!#,!#,AG,!#
,,!#,AG,!#,!#,!#,AG,!#,AG,!#,,,,!#,AG,!#
,,!#,AG,AG,AG,!#,AG,!#,AG,!#,!#,!#,!#,!#,AG,!#
!#,!#,!#,GT,!#,AG,!#,AG,!#,GT,AG,AG,AG,GT,AG,SBH,!#
!#,AG,AG,AG,AG,AG,AG,AG,AG,!#,!#,!#,!#,!#,!#,!#,!#
!#,AG,AG,AG,!#,AG,!#,AG,!#,,,,,,,,
!#,AG,AG,AG,!#,AG,AG,AG,!#,,,,,,,,
!#,AG,AG,AG,!#,AG,AG,AG,!#,,,,,,,,
!#,!#,!#,!#,!#,!#,!#,!#,!#,,,,,,,,
